Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1639064113.1933422,165349,1639064113,188864409,base_mag,414.7965393066406,-150.49307250976562,298.1643981933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.212138,165350,1639064113,201251157,base_mag,421.3805847167969,-139.20608520507812,296.2832336425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.2204847,165351,1639064113,211310952,base_mag,439.25164794921875,-131.6814422607422,273.7092590332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.2326655,165352,1639064113,223657700,base_mag,451.4792175292969,-124.15678405761719,263.3628845214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.2368395,165353,1639064113,231465541,base_mag,451.4792175292969,-124.15678405761719,263.3628845214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.2479122,165354,1639064113,240135364,base_mag,459.0038757324219,-110.98863983154297,253.95706176757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.258979,165355,1639064113,250472154,base_mag,471.2314147949219,-91.2364273071289,240.78890991210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.2638748,165356,1639064113,257146018,base_mag,476.8749084472656,-72.42478942871094,237.9671630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.2879305,165357,1639064113,265446848,base_mag,481.57781982421875,-58.31606674194336,234.20484924316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.2960582,165358,1639064113,285474440,base_mag,485.34014892578125,-41.38559341430664,231.3831024169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
