Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1639064173.2156508,171293,1639064173,208597395,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.320678472518921,0.9046758413314819,0.8450210094451904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.924807548522949,7.594407558441162,-1.745373010635376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2280033,171294,1639064173,220755830,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.358628511428833,0.9721869826316833,0.837431013584137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.845798969268799,6.325480937957764,-1.1731587648391724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2378712,171295,1639064173,233179209,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3108248710632324,1.013599157333374,0.8347678184509277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.927201747894287,5.145139217376709,-0.6727706789970398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2475052,171296,1639064173,243603009,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2434468269348145,1.0339722633361816,0.8430236577987671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.987056732177734,4.232948303222656,-0.38546645641326904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2596767,171297,1639064173,253239976,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.178199529647827,1.0238522291183472,0.8543421030044556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.085219383239746,3.5913023948669434,-0.1412578970193863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2749064,171298,1639064173,261550222,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.102832078933716,0.9661948680877686,0.872185230255127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.269572257995605,3.4189200401306152,-0.08858545869588852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2755463,171299,1639064173,269411564,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9732692241668701,0.8350341320037842,0.89921635389328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.334216117858887,3.378218650817871,0.11252747476100922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.290311,171300,1639064173,279958338,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.806821584701538,0.7158576846122742,0.9396963715553284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.259995460510254,3.2585084438323975,0.3495534360408783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2998652,171301,1639064173,294848196,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4271880388259888,0.5532717108726501,0.9973538517951965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.04691219329834,3.110067844390869,0.5099649429321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3085263,171302,1639064173,304978059,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2494220733642578,0.48642638325691223,1.0056096315383911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.91283655166626,3.1004910469055176,0.6919242739677429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3230753,171303,1639064173,313943167,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8564726114273071,0.4021373391151428,0.988964855670929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.575253963470459,3.3063924312591553,0.7206547260284424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3341548,171304,1639064173,322382387,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6141249537467957,0.3700462281703949,0.9748501181602478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.450755596160889,3.1890766620635986,0.933738648891449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
