Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1639063890.2448113,228,1639063890,236088037,/gps,0,1,23.947236833333335,90.38056933333333,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063891.2374723,229,1639063891,234471082,/gps,0,1,23.9472585,90.38055766666666,-42.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063892.2371533,230,1639063892,234381914,/gps,0,1,23.9472795,90.380531,-42.2,2.3716,0.0,0.0,0.0,2.3716,0.0,0.0,0.0,9.4864,1
1639063893.246442,231,1639063893,236398935,/gps,0,1,23.947292,90.38050366666667,-42.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063894.237438,232,1639063894,234457015,/gps,0,1,23.947300333333335,90.3804755,-42.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063895.2384937,233,1639063895,234934091,/gps,0,1,23.947322,90.380435,-42.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063896.2377057,234,1639063896,234960079,/gps,0,1,23.9473475,90.38039233333333,-42.300000000000004,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063897.2360198,235,1639063897,226768970,/gps,0,1,23.9473695,90.380355,-42.300000000000004,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063898.2358904,236,1639063898,227291107,/gps,0,1,23.947410166666668,90.38031,-42.300000000000004,2.0448999999999997,0.0,0.0,0.0,2.0448999999999997,0.0,0.0,0.0,8.179599999999999,1
1639063899.236686,237,1639063899,233870983,/gps,0,1,23.947434,90.380295,-42.400000000000006,2.0448999999999997,0.0,0.0,0.0,2.0448999999999997,0.0,0.0,0.0,8.179599999999999,1
1639063900.2367847,238,1639063900,233939886,/gps,0,1,23.9474515,90.38029733333333,-42.400000000000006,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063901.2435784,239,1639063901,235718965,/gps,0,1,23.947461166666667,90.38031,-42.400000000000006,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063902.2425287,240,1639063902,236334085,/gps,0,1,23.947488,90.38029016666667,-42.5,5.017600000000001,0.0,0.0,0.0,5.017600000000001,0.0,0.0,0.0,20.070400000000003,1
1639063903.2298589,241,1639063903,225816965,/gps,0,1,23.947515833333334,90.38028316666667,-42.6,5.017600000000001,0.0,0.0,0.0,5.017600000000001,0.0,0.0,0.0,20.070400000000003,1
1639063904.2456179,242,1639063904,236798048,/gps,0,1,23.9475295,90.38030266666667,-42.5,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063905.2456257,243,1639063905,236398935,/gps,0,1,23.9475455,90.3803165,-42.6,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063906.246446,244,1639063906,237168073,/gps,0,1,23.947566833333333,90.38034916666666,-42.6,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063907.2450182,245,1639063907,236756086,/gps,0,1,23.947585333333333,90.380358,-42.6,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063908.235768,246,1639063908,227073907,/gps,0,1,23.947619833333334,90.3803695,-42.6,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063909.2349238,247,1639063909,226053953,/gps,0,1,23.9476495,90.38037666666666,-42.7,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063910.2450895,248,1639063910,236022949,/gps,0,1,23.947671833333334,90.38037133333333,-42.7,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063911.2383978,249,1639063911,235598087,/gps,0,1,23.9476945,90.380353,-42.7,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063912.2377622,250,1639063912,235058069,/gps,0,1,23.9477135,90.38034183333333,-42.800000000000004,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
